symbol,date,iep,prev_close,po_qty,buy_qty,sell_qty
POLYCAB,2026-09-25,8394.0,8366.5,225,2396,6065
POWERGRID,2026-09-25,268.7,266.4,70026,104683,245002
POWERINDIA,2026-09-25,30995.0,30715.0,456,1214,1870
PREMIERENE,2026-09-25,894.0,898.0,851,7064,15908
PRESTIGE,2026-09-25,1470.0,1475.0,221,1441,2437
RADICO,2026-09-25,4494.9,4481.3,262,2534,4617
RECLTD,2026-09-25,309.2,308.25,5358,88559,148512
RELIANCE,2026-09-25,1210.5,1219.2,381939,240888,220381
RVNL,2026-09-25,206.0,206.0,10167,57000,197531
SAIL,2026-09-25,184.64,184.0,24355,91676,579247
SBICARD,2026-09-25,617.0,618.4,1491,15767,15288
SBILIFE,2026-09-25,1755.0,1755.0,2586,4875,7536
SBIN,2026-09-25,980.8,978.5,17634,83690,210392
SCHAEFFLER,2026-09-25,4033.0,4024.2,55,2469,2073
SHREECEM,2026-09-25,22350.0,22350.0,3,308,125
SHRIRAMFIN,2026-09-25,990.0,990.0,30411,31058,36768
SIEMENS,2026-09-25,3841.1,3841.8,161,1044,2733
SJVN,2026-09-25,62.5,62.24,7003,131603,634032
SOLARINDS,2026-09-25,19570.0,19480.0,263,2983,2172
SRF,2026-09-25,2535.0,2533.8,135,1737,9507
SUNDARMFIN,2026-09-25,4590.3,4592.0,74,455,1198
SUNPHARMA,2026-09-25,1858.7,1849.9,1928,7439,25092
SUPREMEIND,2026-09-25,3430.0,3434.0,63,1050,2377
SUZLON,2026-09-25,40.74,40.74,382716,1481871,3260499
SWIGGY,2026-09-25,268.9,267.45,16345,77380,329837
TATACAP,2026-09-25,337.0,336.25,1869,39736,41170
TATACOMM,2026-09-25,1671.9,1670.0,14,1351,8353
TATACONSUM,2026-09-25,988.0,986.3,1261,11655,13022
TATAELXSI,2026-09-25,3190.0,3183.8,276,6304,5816
TATAINVEST,2026-09-25,659.65,658.35,667,15643,48901
TATAPOWER,2026-09-25,363.0,363.45,4891,35018,110697
TATASTEEL,2026-09-25,188.57,188.02,40234,395363,856443
TCS,2026-09-25,2054.0,2087.0,38237,37108,91772
TECHM,2026-09-25,1540.0,1543.0,2128,10034,15599
THERMAX,2026-09-25,3402.0,3406.1,530,1803,2568
TIINDIA,2026-09-25,2530.0,2540.5,527,2206,1521
TITAN,2026-09-25,4855.0,4832.5,970,3411,6071
TMCV,2026-09-25,440.0,437.15,17394,59971,156680
TMPV,2026-09-25,297.0,295.0,23860,282652,356075
TORNTPHARM,2026-09-25,4911.5,4928.5,399,985,3288
TORNTPOWER,2026-09-25,1244.0,1244.2,111,5522,9385
TRENT,2026-09-25,2720.0,2700.0,1185,9262,12852
TVSMOTOR,2026-09-25,4075.0,4091.0,1301,4724,3836
UBL,2026-09-25,1270.2,1270.2,614,1870,8350
ULTRACEMCO,2026-09-25,11100.0,11056.0,320,993,2978
UNIONBANK,2026-09-25,178.78,179.45,3113,23084,215488
UNITDSPR,2026-09-25,1423.3,1423.3,814,1423,13058
UNOMINDA,2026-09-25,1224.4,1224.4,180,5783,5503
UPL,2026-09-25,548.0,549.6,456,14044,422091
VBL,2026-09-25,428.3,431.25,6625,35415,100762
VEDL,2026-09-25,266.25,267.5,18121,124059,223361
VMM,2026-09-25,105.45,105.46,20731,108523,595841
VOLTAS,2026-09-25,1109.9,1113.4,612,12278,9325
WAAREEENER,2026-09-25,2494.4,2482.0,3257,11757,20263
WIPRO,2026-09-25,163.05,163.64,72410,171184,501939
YESBANK,2026-09-25,22.48,22.44,68025,1437352,2457818
ZYDUSLIFE,2026-09-25,1185.5,1180.3,1442,4549,17172
