,model_daily,model_weekly,model_weekly_10_holdings,momentum_only,nifty50,equal_weight_nifty100
2015-08-04,125272.43,141163.78,126387.91,128245.20,101446.62,105813.67
2015-08-05,129004.58,144362.90,126721.17,130447.94,102054.68,106846.71
2015-08-06,129181.53,143787.78,126070.55,130000.32,102301.25,106906.43
2015-08-07,128230.88,143420.35,125660.44,129978.74,102014.77,106591.28
2015-08-10,127977.18,142990.45,126181.34,129479.75,101550.24,106151.41
2015-08-11,128039.31,143562.66,126147.47,128072.21,100796.85,104935.18
2015-08-12,126102.91,141798.53,124875.12,127339.70,99452.08,102869.14
2015-08-13,126128.56,142211.08,125539.10,127519.16,99528.31,102304.92
2015-08-14,129771.61,144347.30,126277.06,131045.25,101466.27,104716.38
2015-08-17,130490.78,146798.60,126484.63,133341.96,100974.93,105021.24
2015-08-18,129976.71,149919.23,127214.86,137634.94,100846.88,105532.96
2015-08-19,131945.73,150642.60,126814.33,137795.83,101187.55,105676.56
2015-08-20,132589.78,148954.98,125577.57,136903.64,99729.61,103822.38
2015-08-21,130056.38,147042.53,124138.86,134373.77,98862.48,102933.11
2015-08-24,123012.03,132120.11,114721.26,121153.44,93014.67,94768.72
2015-08-25,125666.83,134781.83,117106.23,123875.78,93868.70,96834.57
2015-08-26,122913.98,133238.93,115392.68,122751.69,92810.39,96193.39
2015-08-27,127978.16,138110.33,118106.50,127537.34,94681.64,98730.91
2015-08-28,127820.23,138508.15,118221.64,128328.51,95312.94,98919.95
2015-08-31,128359.28,138721.13,118288.81,126993.67,94947.85,98682.37
2015-09-01,124911.53,136263.00,115747.68,122672.42,92738.92,96222.10
2015-09-02,124352.71,134553.85,115339.70,121554.21,91918.83,95605.86
2015-09-03,124057.93,135710.01,116906.59,122994.75,93181.42,96894.19
2015-09-04,119972.82,130492.58,114528.43,119583.56,91180.93,94565.26
2015-09-07,115224.58,124695.46,111264.09,114453.82,90034.48,92609.94
2015-09-08,116049.01,125059.88,112492.42,114046.65,91576.39,94173.77
2015-09-09,117926.61,130039.63,115764.44,119007.16,93129.02,96182.31
2015-09-10,117378.28,128934.20,115314.56,119963.71,92765.72,96088.99
2015-09-11,117563.55,129444.93,115585.23,120983.93,92780.01,96069.23
2015-09-14,118059.58,130552.93,117109.99,122370.35,93768.05,97557.80
2015-09-15,116820.36,127961.20,116145.97,119190.33,93254.08,96671.56
2015-09-16,114651.44,126270.38,115607.13,117193.20,94088.46,96875.45
2015-09-18,114566.58,126428.35,116788.81,118492.24,95074.11,97584.07
2015-09-21,113317.06,125444.89,117515.06,119674.70,95016.94,97999.74
2015-09-22,112299.81,125215.12,116243.54,119266.99,93050.40,96081.42
2015-09-23,112153.73,126427.12,116743.32,120414.64,93454.79,96272.89
2015-09-24,111465.61,126451.30,117675.12,119618.04,93723.38,96373.64
2015-09-28,111897.88,126496.28,116883.86,118175.93,92856.25,95706.04
2015-09-29,110447.50,126711.90,116865.35,118445.31,93423.22,95746.96
2015-09-30,115484.77,131230.32,118869.83,120276.68,94681.04,97283.59
2015-10-01,115673.51,132898.03,119600.28,122568.43,94704.87,97431.23
2015-10-05,118129.77,135159.75,121835.66,124712.85,96710.71,99686.83
2015-10-06,118686.87,135351.42,121934.96,124323.37,97110.93,100280.23
2015-10-07,116958.91,133684.48,120965.65,123608.40,97402.76,100571.58
2015-10-08,114188.21,131579.58,119773.43,121385.31,96830.42,99921.06
2015-10-09,115333.11,132181.20,120564.86,120610.97,97549.27,100179.83
2015-10-12,115621.17,132727.52,121081.96,120368.57,97000.16,100243.80
2015-10-13,114899.34,132506.62,120453.00,120950.41,96858.42,100163.59
2015-10-14,115867.54,134269.82,121617.94,122277.27,96574.93,99965.88
2015-10-15,115447.70,133957.85,121465.68,122295.92,97427.77,100900.01
2015-10-16,115861.34,134773.87,122518.72,123270.05,98126.37,101340.31
2015-10-19,118095.27,136385.57,123693.79,123073.68,98565.89,101537.80
2015-10-20,120260.65,137213.22,124314.05,123365.92,98406.28,101590.76
2015-10-21,121274.74,137725.90,124025.02,123121.58,98287.76,101276.33
2015-10-23,120496.29,136818.10,123832.77,122344.21,98808.88,101036.68
2015-10-26,120023.21,135269.40,122646.33,120291.87,98393.17,100534.42
2015-10-27,120056.52,136103.10,123541.93,120013.95,98063.83,100710.35
2015-10-28,118446.00,134949.70,122241.54,118385.26,97328.91,100185.00
2015-10-29,116730.70,136094.55,121737.93,120114.79,96620.79,99547.69
2015-10-30,119241.06,135417.60,121930.08,120353.79,96073.46,99042.21
2015-11-02,119118.51,133523.70,120997.86,118629.74,95894.80,99070.97
2015-11-03,118965.83,134094.75,121281.86,118650.09,96012.72,99266.34
2015-11-04,120384.86,135610.65,121150.51,119349.21,95768.54,99159.63
2015-11-05,118458.56,131217.85,118796.18,115042.40,94759.07,97721.27
2015-11-06,118504.07,131111.40,118509.00,113398.66,94745.36,97423.45
2015-11-09,119144.62,132053.92,119696.27,113734.90,94279.64,97624.99
2015-11-10,116978.09,131027.00,118076.69,113015.89,92709.15,95874.93
2015-11-13,116162.15,131324.70,117328.28,112967.27,92457.82,95998.09
2015-11-16,117362.51,130924.90,117024.23,112922.09,92986.08,96435.04
2015-11-17,117114.90,131014.62,117400.54,113970.94,93354.73,97047.18
2015-11-18,117374.83,131021.85,116671.80,114022.11,92095.12,95950.12
2015-11-19,118870.83,131941.15,117749.39,115945.22,93416.67,97027.51
2015-11-20,118958.86,132538.94,118396.51,116668.96,93581.04,97635.80
2015-11-23,119869.61,133385.03,118624.80,120059.18,93494.09,97879.21
2015-11-24,120619.55,132631.20,117680.39,119278.09,93283.86,97831.54
2015-11-26,119714.33,131890.95,117175.57,118652.96,93905.62,98469.50
2015-11-27,119379.78,134026.77,117772.16,122189.32,94607.20,98995.62
2015-11-30,119753.30,129905.18,116544.78,121322.94,94518.46,98870.94
2015-12-01,120658.87,130808.97,117075.35,119415.77,94752.51,99456.95
2015-12-02,121516.42,131701.80,116759.64,118862.59,94472.00,99513.01
2015-12-03,119554.27,130369.65,115805.30,119359.03,93671.57,98705.46
2015-12-04,118315.01,129262.91,114995.32,117469.82,92691.87,97750.52
2015-12-07,119155.88,128828.95,114542.27,116978.68,92495.34,97832.16
2015-12-08,118158.69,128026.73,113540.09,116538.96,91736.60,96510.83
2015-12-09,115361.66,123811.28,110596.32,111966.61,90674.11,94892.23
2015-12-10,114440.85,126042.10,111767.07,115435.67,91517.42,95695.00
2015-12-11,114602.13,123443.50,109937.53,113401.24,90649.70,94789.14
2015-12-14,113440.35,122104.63,110533.63,114638.45,91121.38,95520.72
2015-12-15,116326.05,123527.24,111849.05,117290.02,91727.06,95908.21
2015-12-16,116305.75,124174.38,112191.79,118071.00,92322.62,96250.33
2015-12-17,118341.00,126373.04,113740.47,120213.71,93435.73,97595.11
2015-12-18,117898.41,126054.56,113890.90,119507.86,92454.25,96997.30
2015-12-21,119332.59,126801.70,114769.47,119226.57,93317.81,97782.02
2015-12-22,118873.73,125984.15,114508.76,119427.81,92741.90,97424.54
2015-12-23,119163.20,126020.75,115058.99,119653.11,93693.01,98243.65
2015-12-24,119234.70,126735.82,115647.53,119406.79,93634.64,98479.19
2015-12-28,119979.23,128174.56,116089.70,120667.78,94398.15,98985.04
2015-12-29,121609.22,128605.38,117139.67,121528.61,94443.42,99075.15
2015-12-30,121278.04,128282.90,116787.22,120817.58,94053.92,98922.67
2015-12-31,121456.11,126833.88,117112.38,120520.63,94650.67,99211.84
2016-01-01,122537.91,127884.02,117920.41,122253.01,94650.67,100023.97
2016-01-04,120980.39,129364.25,117764.54,123980.95,92803.84,98265.15
2016-01-05,120227.97,129395.93,118227.91,123530.17,92724.63,98714.93
2016-01-06,120877.72,129534.37,117899.85,123888.88,92204.70,98138.80
2016-01-07,119458.78,127091.65,113841.96,120877.31,90147.63,94839.60
2016-01-08,120460.34,125566.40,114057.30,120514.32,90541.30,95726.69
2016-01-11,120349.45,127171.88,113950.26,121163.86,90094.63,94972.97
2016-01-12,119776.56,127097.37,114231.10,120529.03,89456.78,94205.42
2016-01-13,117661.47,124752.25,113276.91,118181.67,90077.36,93934.55
2016-01-14,118633.35,123516.18,112088.44,116459.22,89772.43,92972.51
2016-01-15,117039.85,119340.08,108894.24,111262.53,88593.22,90521.71
2016-01-18,112247.56,116705.83,106162.00,106703.30,87559.33,88467.52
2016-01-19,112910.67,118047.98,107856.16,109769.63,88561.06,89693.52
2016-01-20,112045.31,114370.51,104982.15,107087.64,87062.63,88072.67
2016-01-21,112020.91,112336.28,102410.47,107208.98,86675.52,87829.71
2016-01-22,113333.10,115165.73,103613.61,110386.60,88410.39,90022.08
2016-01-25,112986.43,115390.46,104212.47,111223.97,88573.57,90180.40
2016-01-27,113974.62,117112.58,105052.01,111675.98,88592.63,90293.79
2016-01-28,113323.18,117227.41,105822.95,110837.65,88436.59,90018.32
2016-01-29,114838.88,118227.23,108007.53,113141.37,90091.06,91798.52
2016-02-01,116584.57,119551.23,110174.02,116415.80,90000.54,91975.70
2016-02-02,115059.62,118306.88,108755.00,115353.22,88804.65,90171.97
2016-02-03,119786.25,116353.16,107004.14,111394.74,87687.97,88566.19
2016-02-04,118877.49,116869.68,105994.13,111099.56,88190.62,88901.01
2016-02-05,124878.29,118055.78,107641.61,116000.55,89204.27,90644.61
2016-02-08,124868.23,117249.58,107115.27,115750.76,87991.11,90406.38
2016-02-09,125189.32,115180.71,105305.20,113912.57,86930.42,88850.17
2016-02-10,122523.74,114055.36,102683.35,111601.90,85947.75,87471.98
2016-02-11,117825.64,108125.11,97465.37,105252.25,83096.80,84395.18
2016-02-12,114957.21,108570.83,97028.95,107417.94,83151.59,83834.93
2016-02-15,118602.51,114974.69,101609.04,114343.29,85319.43,87361.39
2016-02-16,115559.87,111571.18,98426.38,112239.90,83953.21,85376.01
2016-02-17,116233.89,114160.38,99421.67,114563.52,84670.27,86094.93
2016-02-18,118837.83,115023.33,100783.89,114361.03,85662.47,86804.66
